"country_name","continent","capital_name","capital_name_pl","capital_name_ru","capital_name_uz","country_name_pl","country_name_ru","country_name_uz","id","created_date","updated_date","created_by_id","created_by","is_sample"
"Tuvalu","Oceania","Funafuti","Funafuti","Фунафути","Funafuti","Tuvalu","Тувалу","Tuvalu","69ad3b237acbbcf72cee7db9","2026-03-08T09:02:27.070000","2026-07-08T17:59:23.903000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Qatar","Asia","Doha","Doha","Доха","Doha","Katar","Катар","Qatar","69ad3b237acbbcf72cee7d90","2026-03-08T09:02:27.070000","2026-07-08T17:59:23.903000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Russia","Asia","Moscow","Moskwa","Москва","Moskva","Rosja","Россия","Rossiya","69ad3b237acbbcf72cee7d92","2026-03-08T09:02:27.070000","2026-07-08T17:59:23.903000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Rwanda","Africa","Kigali","Kigali","Кигали","Kigali","Rwanda","Руанда","Ruanda","69ad3b237acbbcf72cee7d93","2026-03-08T09:02:27.070000","2026-07-08T17:59:23.903000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Solomon Islands","Oceania","Honiara","Honiara","Хониара","Xoniara","Wyspy Salomona","Соломоновы Острова","Solomon orollari","69ad3b237acbbcf72cee7da2","2026-03-08T09:02:27.070000","2026-07-08T17:59:23.903000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Syria","Asia","Damascus","Damaszek","Дамаск","Damashq","Syria","Сирия","Suriya","69ad3b237acbbcf72cee7dad","2026-03-08T09:02:27.070000","2026-07-08T18:00:06.866000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"United Arab Emirates","Asia","Abu Dhabi","Abu Zabi","Абу-Даби","Abu-Dabi","Zjednoczone Emiraty Arabskie","Объединенные Арабские Эмираты","Birlashgan Arab Amirliklari","69ad3b237acbbcf72cee7dbc","2026-03-08T09:02:27.070000","2026-07-08T18:00:06.866000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Peru","South America","Lima","Lima","Лима","Lima","Peru","Перу","Peru","69ad3b237acbbcf72cee7d8c","2026-03-08T09:02:27.070000","2026-07-08T18:00:06.866000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"South Korea","Asia","Seoul","Seul","Сеул","Seul","Korea Południowa","Южная Корея","Janubiy Koreya","69ad3b237acbbcf72cee7da5","2026-03-08T09:02:27.070000","2026-07-08T18:00:06.866000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Spain","Europe","Madrid","Madryt","Мадрид","Madrid","Hiszpania","Испания","Ispaniya","69ad3b237acbbcf72cee7da7","2026-03-08T09:02:27.070000","2026-07-08T18:00:06.866000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Tunisia","Africa","Tunis","Tunis","Тунис","Tunis","Tunezja","Тунис","Tunis","69ad3b237acbbcf72cee7db6","2026-03-08T09:02:27.070000","2026-07-08T18:00:06.866000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Uganda","Africa","Kampala","Kampala","Кампала","Kampala","Uganda","Уганда","Uganda","69ad3b237acbbcf72cee7dba","2026-03-08T09:02:27.070000","2026-07-08T18:00:06.866000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Philippines","Asia","Manila","Manila","Манила","Manila","Filipiny","Филиппины","Filippin","69ad3b237acbbcf72cee7d8d","2026-03-08T09:02:27.070000","2026-07-08T18:00:06.866000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Yemen","Asia","Sana'a","Sana","Сана","Sano","Jemen","Йемен","Yaman","69ad3b237acbbcf72cee7dc5","2026-03-08T09:02:27.070000","2026-07-08T18:00:06.866000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Zambia","Africa","Lusaka","Lusaka","Лусака","Lusaka","Zambia","Замбия","Zambiya","69ad3b237acbbcf72cee7dc6","2026-03-08T09:02:27.070000","2026-07-08T18:00:06.866000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Romania","Europe","Bucharest","Bukareszt","Бухарест","Buxarest","Rumunia","Румыния","Ruminiya","69ad3b237acbbcf72cee7d91","2026-03-08T09:02:27.070000","2026-07-08T18:00:06.866000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"San Marino","Europe","San Marino","San Marino","Сан-Марино","San-Marino","San Marino","Сан-Марино","San-Marino","69ad3b237acbbcf72cee7d98","2026-03-08T09:02:27.070000","2026-07-08T18:00:06.866000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Saudi Arabia","Asia","Riyadh","Rijad","Эр-Рияд","Ar-Riyod","Arabia Saudyjska","Саудовская Аравия","Saudiya Arabistoni","69ad3b237acbbcf72cee7d9a","2026-03-08T09:02:27.070000","2026-07-08T18:00:06.866000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Slovakia","Europe","Bratislava","Bratysława","Братислава","Bratislava","Słowacja","Словакия","Slovakiya","69ad3b237acbbcf72cee7da0","2026-03-08T09:02:27.070000","2026-07-08T18:00:06.866000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Tanzania","Africa","Dodoma","Dodoma","Додома","Dodoma","Tanzania","Танзания","Tanzaniya","69ad3b237acbbcf72cee7db0","2026-03-08T09:02:27.070000","2026-07-08T18:00:06.866000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Vatican City","Europe","Vatican City","Watykan","Ватикан","Vatikan","Watykan","Ватикан","Vatikan","69ad3b237acbbcf72cee7dc2","2026-03-08T09:02:27.070000","2026-07-08T18:00:06.866000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"South Sudan","Africa","Juba","Dżuba","Джуба","Juba","Sudan Południowy","Южный Судан","Janubiy Sudan","69ad3b237acbbcf72cee7da6","2026-03-08T09:02:27.070000","2026-07-08T18:00:06.866000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Poland","Europe","Warsaw","Warszawa","Варшава","Varshava","Polska","Польша","Polsha","69ad3b237acbbcf72cee7d8e","2026-03-08T09:02:27.070000","2026-07-08T18:00:06.866000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Sudan","Africa","Khartoum","Chartum","Хартум","Xartum","Sudan","Судан","Sudan","69ad3b237acbbcf72cee7da9","2026-03-08T09:02:27.070000","2026-07-08T18:00:06.866000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Thailand","Asia","Bangkok","Bangkok","Бангкок","Bangkok","Tajlandia","Таиланд","Tailand","69ad3b237acbbcf72cee7db1","2026-03-08T09:02:27.070000","2026-07-08T18:00:06.866000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Togo","Africa","Lomé","Lomé","Ломе","Lome","Togo","Того","Togo","69ad3b237acbbcf72cee7db3","2026-03-08T09:02:27.070000","2026-07-08T18:00:06.866000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Saint Lucia","North America","Castries","Castries","Кастри","Kastri","Saint Lucia","Сент-Люсия","Sent-Lyusiya","69ad3b237acbbcf72cee7d95","2026-03-08T09:02:27.070000","2026-07-08T18:00:06.866000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Suriname","South America","Paramaribo","Paramaribo","Парамарибо","Paramaribo","Surinam","Суринам","Surinam","69ad3b237acbbcf72cee7daa","2026-03-08T09:02:27.070000","2026-07-08T18:00:06.866000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Sweden","Europe","Stockholm","Sztokholm","Стокгольм","Stokgolm","Szwecja","Швеция","Shvetsiya","69ad3b237acbbcf72cee7dab","2026-03-08T09:02:27.070000","2026-07-08T18:00:06.866000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Taiwan","Asia","Taipei","Tajpej","Тайбэй","Taypey","Tajwan","Тайвань","Tayvan","69ad3b237acbbcf72cee7dae","2026-03-08T09:02:27.070000","2026-07-08T18:00:06.866000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Tajikistan","Asia","Dushanbe","Duszanbe","Душанбе","Dushanbe","Tadżykistan","Таджикистан","Tojikiston","69ad3b237acbbcf72cee7daf","2026-03-08T09:02:27.070000","2026-07-08T18:00:06.866000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Denmark","Europe","Copenhagen","Kopenhaga","Копенгаген","Kopengagen","Dania","Дания","Daniya","69ad3b237acbbcf72cee7d32","2026-03-08T09:02:27.069000","2026-07-08T18:00:06.866000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Djibouti","Africa","Djibouti","Dżibuti","Джибути","Jibuti","Dżibuti","Джибути","Jibuti","69ad3b237acbbcf72cee7d33","2026-03-08T09:02:27.069000","2026-07-08T18:00:06.866000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Eswatini","Africa","Mbabane","Mbabane","Мбабане","Mbabane","Eswatini","Эсватини","Esvatini","69ad3b237acbbcf72cee7d3c","2026-03-08T09:02:27.069000","2026-07-08T18:00:06.866000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Gabon","Africa","Libreville","Libreville","Либревиль","Librevil","Gabon","Габон","Gabon","69ad3b237acbbcf72cee7d41","2026-03-08T09:02:27.069000","2026-07-08T18:00:06.866000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Hungary","Europe","Budapest","Budapeszt","Будапешт","Budapesht","Węgry","Венгрия","Vengriya","69ad3b237acbbcf72cee7d4e","2026-03-08T09:02:27.069000","2026-07-08T18:00:06.866000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Montenegro","Europe","Podgorica","Podgorica","Подгорица","Podgoritsa","Czarnogóra","Черногория","Chernogoriya","69ad3b237acbbcf72cee7d76","2026-03-08T09:02:27.069000","2026-07-08T18:00:06.866000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Congo, Dem. Rep.","Africa","Kinshasa","Kinszasa","Киншаса","Kinshasa","Demokratyczna Republika Konga","Демократическая Республика Конго","Kongo Demokratik Respublikasi","69ad3b237acbbcf72cee7d2a","2026-03-08T09:02:27.069000","2026-07-08T18:00:06.866000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Eritrea","Africa","Asmara","Asmara","Асмэра","Asmara","Erytrea","Эритрея","Eritreya","69ad3b237acbbcf72cee7d3a","2026-03-08T09:02:27.069000","2026-07-08T18:00:06.866000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Gambia","Africa","Banjul","Bandżul","Банжул","Banjul","Gambia","Гамбия","Gambiya","69ad3b237acbbcf72cee7d42","2026-03-08T09:02:27.069000","2026-07-08T18:00:06.866000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Liechtenstein","Europe","Vaduz","Vaduz","Вадуц","Vaduts","Liechtenstein","Лихтенштейн","Lixtenshteyn","69ad3b237acbbcf72cee7d65","2026-03-08T09:02:27.069000","2026-07-08T18:00:06.866000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Mauritius","Africa","Port Louis","Port Louis","Порт-Луи","Port-Lui","Mauritius","Маврикий","Mavrikiy","69ad3b237acbbcf72cee7d70","2026-03-08T09:02:27.069000","2026-07-08T18:00:06.866000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Myanmar","Asia","Naypyidaw","Naypyidaw","Нейпьидо","Naypyido","Mjanma","Мьянма","Myanma","69ad3b237acbbcf72cee7d79","2026-03-08T09:02:27.069000","2026-07-08T18:00:06.866000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Netherlands","Europe","Amsterdam","Amsterdam","Амстердам","Amsterdam","Holandia","Нидерланды","Niderlandiya","69ad3b237acbbcf72cee7d7d","2026-03-08T09:02:27.069000","2026-07-08T18:00:06.866000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Burundi","Africa","Gitega","Gitega","Гитега","Gitega","Burundi","Бурунди","Burundi","69ad3b237acbbcf72cee7d1f","2026-03-08T09:02:27.069000","2026-07-08T18:00:06.866000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Cyprus","Asia","Nicosia","Nikozja","Никосия","Nikosiya","Cypr","Кипр","Kipr","69ad3b237acbbcf72cee7d30","2026-03-08T09:02:27.069000","2026-07-08T18:00:48.369000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Dominican Republic","North America","Santo Domingo","Santo Domingo","Санто-Доминго","Santo-Domingo","Dominikana","Доминиканская Республика","Dominika Respublikasi","69ad3b237acbbcf72cee7d35","2026-03-08T09:02:27.069000","2026-07-08T18:00:48.369000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Egypt","Africa","Cairo","Kair","Каир","Qohira","Egipt","Египет","Misr","69ad3b237acbbcf72cee7d37","2026-03-08T09:02:27.069000","2026-07-08T18:00:48.369000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Fiji","Oceania","Suva","Suva","Сува","Suva","Fidżi","Фиджи","Fiji","69ad3b237acbbcf72cee7d3e","2026-03-08T09:02:27.069000","2026-07-08T18:00:48.369000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"France","Europe","Paris","Paryż","Париж","Parij","Francja","Франция","Fransiya","69ad3b237acbbcf72cee7d40","2026-03-08T09:02:27.069000","2026-07-08T18:00:48.369000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Kazakhstan","Asia","Astana","Astana","Астана","Astana","Kazachstan","Казахстан","Qozogʻiston","69ad3b237acbbcf72cee7d5a","2026-03-08T09:02:27.069000","2026-07-08T18:00:48.369000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Luxembourg","Europe","Luxembourg","Luksemburg","Люксембург","Lyuksemburg","Luksemburg","Люксембург","Lyuksemburg","69ad3b237acbbcf72cee7d67","2026-03-08T09:02:27.069000","2026-07-08T18:00:48.369000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Marshall Islands","Oceania","Majuro","Majuro","Маджуро","Majuro","Wyspy Marshalla","Маршалловы Острова","Marshall Orollari","69ad3b237acbbcf72cee7d6e","2026-03-08T09:02:27.069000","2026-07-08T18:00:48.369000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Mongolia","Asia","Ulaanbaatar","Ułan Bator","Улан-Батор","Ulan-Bator","Mongolia","Монголия","Moʻgʻuliston","69ad3b237acbbcf72cee7d75","2026-03-08T09:02:27.069000","2026-07-08T18:00:48.369000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Cabo Verde","Africa","Praia","Praia","Прая","Praya","Republika Zielonego Przylądka","Кабо-Верде","Kabo-Verde","69ad3b237acbbcf72cee7d20","2026-03-08T09:02:27.069000","2026-07-08T18:00:48.369000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Finland","Europe","Helsinki","Helsinki","Хельсинки","Xelsinki","Finlandia","Финляндия","Finlyandiya","69ad3b237acbbcf72cee7d3f","2026-03-08T09:02:27.069000","2026-07-08T18:00:48.369000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Ghana","Africa","Accra","Akra","Аккра","Akkra","Ghana","Гана","Gana","69ad3b237acbbcf72cee7d45","2026-03-08T09:02:27.069000","2026-07-08T18:00:48.369000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
"Guinea","Africa","Conakry","Konakry","Конакри","Konakri","Gwinea","Гвинея","Gvineya","69ad3b237acbbcf72cee7d49","2026-03-08T09:02:27.069000","2026-07-08T18:00:48.369000","6932c1a5cee41be4b8ef3e6a","mirkhakimadashaliev@gmail.com","false"
